,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious,TotCases1Mpop,Deaths1Mpop,TotalTests,Tests1Mpop,Population,Continent
0,1.0,USA,1701790,15354,99738,438,457783,1144269,17110,5144,301,15116067,45695,330806424,NorthAmerica
1,2.0,Brazil,370060,6442,23102,386,149911,197047,8318,1742,109,735224,3461,212405664,SouthAmerica
2,3.0,Russia,353427,8946,3633,92,118798,230996,2300,2422,25,8945384,61300,145928315,Europe
3,4.0,Spain,282480,0,26837,0,196958,58685,854,6042,574,3556567,76071,46752999,Europe
4,5.0,UK,261184,1625,36914,121,0,0,1559,3849,544,3532634,52065,67850075,Europe
5,6.0,Italy,230158,300,32877,92,141981,55300,541,3806,544,3482253,57586,60470472,Europe
6,7.0,France,182942,358,28432,65,65199,89311,1609,2803,436,1384633,21217,65259187,Europe
7,8.0,Germany,180789,461,8428,57,161200,11161,873,2158,101,3595059,42922,83757235,Europe
8,9.0,Turkey,157814,987,4369,29,120015,33430,756,1873,52,1853754,22004,84244944,Asia
9,10.0,India,144941,6405,4172,148,60706,80063,8944,105,3,3033591,2200,1378604014,Asia
10,11.0,Iran,137724,2023,7451,34,107713,22560,2585,1642,89,818917,9763,83880266,Asia
11,12.0,Peru,119959,0,3456,0,49795,66708,920,3644,105,820967,24936,32923430,SouthAmerica
12,13.0,Canada,85677,978,6538,114,44530,34609,502,2272,173,1479838,39244,37708187,NorthAmerica
13,215.0,China,82985,11,4634,0,78268,83,7,58,3,0,0,1439323776,Asia
14,14.0,SaudiArabia,74795,2235,399,9,45668,28728,372,2152,11,722079,20776,34756224,Asia
15,15.0,Chile,73997,4895,761,43,29302,43934,1135,3874,40,488041,25553,19099374,SouthAmerica
16,16.0,Mexico,68620,2764,7394,215,47424,13802,378,533,57,219164,1702,128792446,NorthAmerica
17,17.0,Belgium,57342,250,9312,32,15297,32733,251,4950,804,788110,68031,11584564,Europe
18,18.0,Pakistan,56349,1748,1167,34,17482,37700,111,256,5,483656,2194,220427217,Asia
19,19.0,Qatar,45465,1751,26,3,10363,35076,202,15809,9,192484,66931,2875845,Asia
20,20.0,Netherlands,45445,209,5830,8,0,0,223,2653,340,324918,18967,17131112,Europe
21,21.0,Ecuador,37355,599,3203,95,18003,16149,211,2121,182,106554,6049,17614626,SouthAmerica
22,22.0,Belarus,37144,946,204,5,14449,22491,92,3931,22,463004,48997,9449627,Europe
23,23.0,Bangladesh,35585,1975,501,21,7334,27750,1,216,3,253034,1538,164519918,Asia
24,24.0,Sweden,33843,384,4029,31,4971,24843,304,3353,399,209900,20797,10092886,Europe
25,25.0,Singapore,31960,344,23,0,15738,16199,8,5467,4,294414,50365,5845641,Asia
26,26.0,Portugal,30788,165,1330,14,17822,11636,72,3019,130,689705,67621,10199578,Europe
27,27.0,Switzerland,30746,10,1913,7,28100,733,47,3555,221,372146,43032,8648175,Europe
28,28.0,UAE,30307,822,248,3,15657,14402,1,3068,25,2044493,206976,9877923,Asia
29,29.0,Ireland,24698,59,1606,0,21060,2032,54,5008,326,295626,59940,4932053,Europe
30,30.0,SouthAfrica,23615,1032,481,52,11917,11217,128,399,8,596777,10076,59230390,Africa
31,31.0,Indonesia,22750,479,1391,19,5642,15717,0,83,5,256946,940,273223931,Asia
